loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.007197979837656021,0.9977620244026184,0.9954643845558167,0.9985818862915039,0.008590837009251118,0.9972783923149109,1.0,0.9972783923149109
0.0017800376517698169,0.999424397945404,0.9987823367118835,0.9996838569641113,0.00056938681518659,0.9998419284820557,1.0,0.9998419284820557
0.0015001853462308645,0.9995094537734985,0.9989926815032959,0.9996998906135559,0.0032016285695135593,0.9995807409286499,1.0,0.9995807409286499
0.0014224956976249814,0.9995567202568054,0.9991093277931213,0.9997090697288513,0.0002420516830170527,1.0,1.0,1.0
0.0012135456781834364,0.99961256980896,0.9991986155509949,0.9997686147689819,0.00022758437262382358,1.0,1.0,1.0
0.0011324466904625297,0.9996039271354675,0.9992169141769409,0.9997273683547974,0.0007589642191305757,0.9999793767929077,1.0,0.9999793767929077
0.0010904124937951565,0.9996443390846252,0.9992946982383728,0.9997571706771851,0.00034658637014217675,0.9999862313270569,1.0,0.9999862313270569
0.0010220176773145795,0.9996683597564697,0.9993336200714111,0.999782383441925,0.00033651103149168193,1.0,1.0,1.0
0.000995089067146182,0.9996898770332336,0.9993679523468018,0.9998052716255188,0.00035136492806486785,1.0,1.0,1.0
0.0010073025478050113,0.9996932744979858,0.9993817210197449,0.9998006820678711,0.0017884763656184077,0.9996494650840759,1.0,0.9996494650840759
